id,symbol,market,name,unit,leverage,night_session
1,IF,zgjr,沪深,300,0.15,0
2,IH,zgjr,上证,300,0.15,0
3,IC,zgjr,中证500,200,0.15,0
4,IM,zgjr,中证1000,200,0.15,0
5,AU,sh,沪金,1000,0.2,1
6,AG,sh,沪银,15,0.2,1
7,CU,sh,沪铜,5,0.2,1
8,AL,sh,沪铝,5,0.2,1
9,ZN,sh,沪锌,5,0.2,1
10,PB,sh,沪铅,5,0.2,1
11,NI,sh,沪镍,1,0.2,1
12,SN,sh,沪锡,1,0.2,1
13,SS,sh,不锈钢,5,0.21,1
14,RB,sh,螺纹,10,0.21,1
15,HC,sh,热卷,10,0.21,1
16,WR,sh,线材,10,0.2,0
17,SP,sh,纸浆,10,0.2,1
18,FU,sh,燃油,10,0.15,1
19,BU,sh,沥青,10,0.2,1
20,RU,sh,橡胶,10,0.2,1
21,BR,sh,丁二烯橡胶,5,0.2,1
22,AO,sh,氧化铝,20,0.2,0
23,SC,sh,原油,1000,0.15,1
24,NR,sh,20号胶,10,0.2,1
25,LU,sh,低硫油,10,0.15,1
26,EC,sh,欧线集运,50,0.29,0
27,BC,sh,国际铜,5,0.2,1
28,SF,zz,硅铁,5,0.27,0
29,SM,zz,锰硅,5,0.27,0
30,FG,zz,玻璃,20,0.25,1
31,TA,zz,PTA,5,0.27,1
32,MA,zz,甲醇,10,0.26,1
33,UR,zz,尿素,20,0.25,0
34,SA,zz,纯碱,20,0.25,1
35,RS,zz,菜籽,10,0.4,0
36,RM,zz,菜粕,10,0.13,1
37,OI,zz,菜油,10,0.13,1
38,CF,zz,棉花,5,0.12,1
39,SR,zz,白糖,10,0.12,1
40,CY,zz,棉纱,5,0.3,1
41,AP,zz,苹果,10,0.15,0
42,CJ,zz,红枣,5,0.2,0
43,SH,zz,烧碱,30,0.26,1
44,PX,zz,对二甲苯,5,0.26,1
45,PK,zz,花生,5,0.14,0
46,PF,zz,短纤,5,0.26,1
47,I,dl,铁矿石,100,0.26,1
48,FB,dl,纤板,10,0.35,0
49,JM,dl,焦煤,60,0.25,1
50,J,dl,焦炭,100,0.25,1
51,L,dl,塑料,5,0.26,1
52,V,dl,PVC,5,0.26,1
53,EG,dl,乙二醇,10,0.26,1
54,PP,dl,PP,5,0.26,1
55,EB,dl,苯乙烯,5,0.26,1
56,PG,dl,LPG,20,0.25,1
57,C,dl,玉米,10,0.12,1
58,CS,dl,淀粉,10,0.11,1
59,A,dl,豆一,10,0.12,1
60,B,dl,豆二,10,0.26,1
61,M,dl,豆粕,10,0.13,1
62,Y,dl,豆油,10,0.13,1
63,P,dl,棕榈,10,0.25,1
64,JD,dl,鸡蛋,10,0.26,0
65,LH,dl,生猪,16,0.14,0
66,SI,gz,工业硅,5,0.27,0
67,LC,gz,碳酸锂,1,0.28,0
